name,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Chandakapur,Valid,L5,8800,Fell,01/01/1838 12:00:00 AM,20.26667,76.01667,"(20.266670, 76.016670)"
Chandpur,Valid,L6,1100,Fell,01/01/1885 12:00:00 AM,27.28333,79.05,"(27.283330, 79.050000)"
Changde,Valid,H5,1810,Fell,01/01/1977 12:00:00 AM,29.08333,111.75,"(29.083330, 111.750000)"
Chantonnay,Valid,L6,31500,Fell,01/01/1812 12:00:00 AM,46.68333,1.05,"(46.683330, 1.050000)"
Charlotte,Valid,"Iron, IVA",4300,Fell,01/01/1835 12:00:00 AM,36.16667,-87.33333,"(36.166670, -87.333330)"
Charsonville,Valid,H6,27000,Fell,01/01/1810 12:00:00 AM,47.93333,1.56667,"(47.933330, 1.566670)"
Charwallas,Valid,H6,12000,Fell,01/01/1834 12:00:00 AM,29.48333,75.5,"(29.483330, 75.500000)"
Chassigny,Valid,Martian (chassignite),4000,Fell,01/01/1815 12:00:00 AM,47.71667,5.36667,"(47.716670, 5.366670)"
Château-Renard,Valid,L6,30000,Fell,01/01/1841 12:00:00 AM,47.93333,2.91667,"(47.933330, 2.916670)"
Chaves,Valid,Howardite,2945,Fell,01/01/1925 12:00:00 AM,41.93333,-7.46667,"(41.933330, -7.466670)"
Chela,Valid,H4,2936,Fell,01/01/1988 12:00:00 AM,-3.66667,32.5,"(-3.666670, 32.500000)"
Chelyabinsk,Valid,LL5,100000,Fell,01/01/2013 12:00:00 AM,54.81667,61.11667,"(54.816670, 61.116670)"
Chergach,Valid,H5,100000,Fell,01/01/2007 12:00:00 AM,23.69639,-5.01472,"(23.696390, -5.014720)"
Chernyi Bor,Valid,H4,6000,Fell,01/01/1964 12:00:00 AM,53.7,30.1,"(53.700000, 30.100000)"
Cherokee Springs,Valid,LL6,8400,Fell,01/01/1933 12:00:00 AM,35.03333,-81.88333,"(35.033330, -81.883330)"
Chervettaz,Valid,L5,705,Fell,01/01/1901 12:00:00 AM,46.55,6.81667,"(46.550000, 6.816670)"
Chervony Kut,Valid,Eucrite-mmict,1700,Fell,01/01/1939 12:00:00 AM,50.83333,34,"(50.833330, 34.000000)"
Chetrinahatti,Valid,Stone-uncl,72,Fell,01/01/1880 12:00:00 AM,14.5,76.5,"(14.500000, 76.500000)"
Chiang Khan,Valid,H6,367,Fell,01/01/1981 12:00:00 AM,17.9,101.63333,"(17.900000, 101.633330)"
Chicora,Valid,LL6,303,Fell,01/01/1938 12:00:00 AM,40.93333,-79.73333,"(40.933330, -79.733330)"
Chisenga,Valid,"Iron, IIIAB",3920,Fell,01/01/1988 12:00:00 AM,-10.05944,33.395,"(-10.059440, 33.395000)"
Chitado,Valid,L6,,Fell,01/01/1966 12:00:00 AM,-17.35,13.96667,"(-17.350000, 13.966670)"
Chitenay,Valid,L6,4000,Fell,01/01/1978 12:00:00 AM,47.47083,0.97667,"(47.470830, 0.976670)"
Cilimus,Valid,L5,1600,Fell,01/01/1979 12:00:00 AM,-6.95,108.1,"(-6.950000, 108.100000)"
Claxton,Valid,L6,1455,Fell,01/01/1984 12:00:00 AM,32.1025,-81.87278,"(32.102500, -81.872780)"
Clohars,Valid,L4,48.6,Fell,01/01/1822 12:00:00 AM,,,
Colby (Wisconsin),Valid,L6,104000,Fell,01/01/1917 12:00:00 AM,44.9,-90.28333,"(44.900000, -90.283330)"
Cold Bokkeveld,Valid,CM2,5200,Fell,01/01/1838 12:00:00 AM,-33.13333,19.38333,"(-33.133330, 19.383330)"
Coleman,Valid,L6,469,Fell,01/01/1994 12:00:00 AM,43.76111,-84.50778,"(43.761110, -84.507780)"
Collescipoli,Valid,H5,5000,Fell,01/01/1890 12:00:00 AM,42.53333,12.61667,"(42.533330, 12.616670)"
Conquista,Valid,H4,20350,Fell,01/01/1965 12:00:00 AM,-19.85,-47.55,"(-19.850000, -47.550000)"
Cosina,Valid,H5,1200,Fell,01/01/1844 12:00:00 AM,21.16667,-100.86667,"(21.166670, -100.866670)"
Cranganore,Valid,L6,1460,Fell,01/01/1917 12:00:00 AM,10.2,76.26667,"(10.200000, 76.266670)"
Crescent,Valid,CM2,78.4,Fell,01/01/1936 12:00:00 AM,35.95,-97.58333,"(35.950000, -97.583330)"
Cronstad,Valid,H5,3650,Fell,01/01/1877 12:00:00 AM,-27.7,27.3,"(-27.700000, 27.300000)"
Cross Roads,Valid,H5,167,Fell,01/01/1892 12:00:00 AM,35.63333,-78.13333,"(35.633330, -78.133330)"
Crumlin,Valid,L5,4255,Fell,01/01/1902 12:00:00 AM,54.61667,-6.21667,"(54.616670, -6.216670)"
Cumberland Falls,Valid,Aubrite,17000,Fell,01/01/1919 12:00:00 AM,36.83333,-84.35,"(36.833330, -84.350000)"
Cynthiana,Valid,L/LL4,6000,Fell,01/01/1877 12:00:00 AM,38.4,-84.25,"(38.400000, -84.250000)"
Dahmani,Valid,LL6,18000,Fell,01/01/1981 12:00:00 AM,35.61667,8.83333,"(35.616670, 8.833330)"
